,Title,FPrice
0,"Apple iPhone 14 Plus (Starlight, 128 GB)","₹55,999"
1,"Apple iPhone 14 Plus (Blue, 128 GB)","₹55,999"
2,"Apple iPhone 14 Plus (Midnight, 128 GB)","₹55,999"
3,"Apple iPhone 15 (Pink, 128 GB)","₹70,999"
4,"Apple iPhone 15 (Black, 128 GB)","₹70,999"
5,"Apple iPhone 15 (Blue, 128 GB)","₹70,999"
6,"Apple iPhone 14 Plus (Midnight, 256 GB)","₹65,999"
7,"Apple iPhone 15 (Green, 128 GB)","₹70,999"
8,"Apple iPhone 14 Plus (Blue, 256 GB)","₹65,999"
9,"Apple iPhone 15 (Yellow, 128 GB)","₹70,999"
10,"Apple iPhone 12 (Blue, 128 GB)","₹44,999"
11,"Apple iPhone 12 (Black, 64 GB)","₹39,999"
12,"Apple iPhone 15 Plus (Blue, 128 GB)","₹81,999"
13,"Apple iPhone 15 Plus (Blue, 256 GB)","₹91,999"
14,"Apple iPhone 15 Plus (Green, 128 GB)","₹81,999"
15,"Apple iPhone 15 Plus (Black, 256 GB)","₹91,999"
16,"Apple iPhone 13 (Green, 128 GB)","₹52,999"
17,"Apple iPhone 13 (Pink, 128 GB)","₹52,999"
18,"Apple iPhone 13 (Starlight, 128 GB)","₹52,999"
19,"Apple iPhone 12 (Blue, 64 GB)","₹39,999"
20,"Apple iPhone 14 (Midnight, 128 GB)","₹58,999"
21,"Apple iPhone 11 (Black, 128 GB) (Includes EarPods, Power Adapter)","₹39,999"
22,"Apple iPhone 13 (Midnight, 128 GB)","₹52,999"
23,"Apple iPhone 15 (Black, 256 GB)","₹80,999"
